tau,n_seeds,final_size,duration,speed,t_half,t_peak,peak_rate,t_double,avg_rate,strategy
0.15,1,0.031818181818181815,2.0,2.9999999999999996,,1.0,3.0,1.0,3.0,low
0.15,1,0.004636363636363636,0.02,0.02,,0.02,0.02,1.0,0.02,random
0.15,3,0.013636363636363636,0.0,0.0,,0.0,0.0,,0.0,high
0.15,3,0.031818181818181815,1.0,3.999999999999999,,1.0,4.0,1.0,4.0,low
0.15,3,0.015272727272727276,0.18,0.21,,0.12,0.3,1.3333333333333333,0.21,random
0.15,5,0.022727272727272728,0.0,0.0,,0.0,0.0,,0.0,high
0.15,5,0.031818181818181815,1.0,1.9999999999999991,,1.0,2.0,,2.0,low
0.15,5,0.027181818181818182,0.4,0.58,,0.24,0.7,1.4285714285714286,0.58,random
0.15,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,high
0.15,10,0.045454545454545456,0.0,0.0,,0.0,0.0,,0.0,low
0.15,10,0.06200000000000001,0.92,1.2261904761904763,,0.7,2.5,4.5,1.2261904761904763,random
0.15,15,0.07272727272727272,1.0,1.0,,1.0,1.0,,1.0,high
0.15,15,0.2409090909090909,5.0,7.6,,5.0,24.0,5.0,7.6,low
0.15,15,0.1269090909090909,1.64,3.6506666666666665,,1.04,8.02,2.4166666666666665,3.6506666666666665,random
0.15,20,0.759090909090909,3.0,49.0,3.0,3.0,95.0,2.0,49.0,high
0.15,20,0.2409090909090909,2.0,16.5,,2.0,17.0,2.0,16.5,low
0.15,20,0.20800000000000002,3.0,6.878000000000001,,1.62,15.36,2.12,6.878000000000001,random
0.15,30,0.759090909090909,3.0,45.666666666666664,1.0,1.0,133.0,1.0,45.666666666666664,high
0.15,30,0.2409090909090909,1.0,23.0,,1.0,23.0,,23.0,low
0.15,30,0.759909090909091,4.06,33.913047619047624,2.5454545454545454,2.24,88.4,1.6734693877551021,33.913047619047624,random
0.15,50,0.759090909090909,2.0,58.5,1.0,1.0,114.0,1.0,58.5,high
0.15,50,0.2409090909090909,1.0,3.0,,1.0,3.0,,3.0,low
0.15,50,1.0,2.48,74.91333333333333,1.0,1.0,160.5,1.0,74.91333333333333,random
0.15,75,0.759090909090909,2.0,46.0,1.0,1.0,89.0,1.0,46.0,high
0.15,75,0.3409090909090909,0.0,0.0,,0.0,0.0,,0.0,low
0.15,75,1.0,2.02,79.26666666666667,1.0,1.0,142.22,1.0,79.26666666666667,random
0.15,100,0.759090909090909,2.0,33.5,1.0,1.0,65.0,,33.5,high
0.15,100,1.0,1.0,120.0,1.0,1.0,120.0,1.0,120.0,low
0.15,100,1.0,1.78,74.0,1.0,1.0,118.5,1.0,74.0,random
